make,model,year,consumer_overall_rating,consumer_review_count,consumer_recommend_pct,star_5_pct,star_4_pct,star_3_pct,star_2_pct,star_1_pct,rating_value,rating_performance,rating_quality,rating_comfort,rating_reliability,rating_styling,expert_rating,expert_ranking,pros,cons
Toyota,Corolla,2017,4.3,231,83,66,18,7,2,7,5.0,5.0,5.0,5.0,5.0,4.0,4.2,,,
Toyota,Corolla,2020,4.1,99,77,,,,,,1.0,1.0,1.0,1.0,1.0,5.0,4.6,#1 in Best Small Cars of 2020,,
Toyota,Corolla,2023,4.1,99,77,,,,,,1.0,1.0,1.0,1.0,1.0,5.0,4.4,,,
Toyota,RAV4,2017,4.4,340,80,,,,,,3.0,1.0,5.0,3.0,5.0,5.0,4.5,,,
Toyota,RAV4,2020,3.6,391,60,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,4.8,,,
Toyota,RAV4,2023,3.6,391,60,43,17,14,14,12,1.0,1.0,1.0,1.0,1.0,2.0,4.6,,,
Honda,Civic,2017,4.7,685,93,,,,,,2.0,3.0,2.0,4.0,1.0,4.0,4.7,,,
Honda,Civic,2020,4.7,685,93,,,,,,2.0,3.0,2.0,4.0,1.0,4.0,4.6,#1 in Best Small Cars of 2020,,
Honda,Civic,2023,3.8,64,65,,,,,,4.0,3.0,1.0,4.0,1.0,5.0,4.7,,,
Honda,CR-V,2017,4.0,322,73,,,,,,5.0,5.0,5.0,5.0,5.0,4.0,4.9,,,
Honda,CR-V,2020,4.0,322,73,57,15,12,3,12,5.0,5.0,5.0,5.0,5.0,4.0,4.8,#1 in Best Compact SUVs of 2020,,
Honda,CR-V,2023,3.6,18,83,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,4.8,,,
Ford,F-150,2017,,,,,,,,,,,,,,,4.5,,,
Ford,F-150,2020,,,,,,,,,,,,,,,4.4,,,
Ford,F-150,2023,,,,,,,,,,,,,,,4.7,,,
Ford,Mustang,2017,4.6,226,90,81,11,3,1,4,5.0,5.0,5.0,5.0,5.0,5.0,4.7,,,
Ford,Mustang,2020,4.6,226,90,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,4.6,,,
Ford,Mustang,2023,4.6,226,90,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,4.5,,,
Ford,Explorer,2017,4.2,365,75,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,3.8,,,
Ford,Explorer,2020,3.6,93,63,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,3.8,#13 in Best Midsize SUVs for 2020,,
Ford,Explorer,2023,3.6,93,63,46,14,12,8,20,5.0,5.0,5.0,5.0,5.0,5.0,3.8,,,
BMW,3-Series,2017,4.5,196,83,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,4.6,,,
BMW,3-Series,2020,4.2,37,75,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,4.6,#3 in Best Small Luxury Cars of 2020,,
BMW,3-Series,2023,4.2,37,75,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,3.8,,,
BMW,M4,2017,3.7,19,68,,,,,,1.0,2.0,1.0,2.0,1.0,2.0,4.2,,,
BMW,M4,2020,3.7,19,68,68,0,0,0,32,1.0,2.0,1.0,2.0,1.0,2.0,4.1,,,
BMW,M4,2023,4.3,7,80,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
BMW,X5,2017,4.3,59,80,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,4.6,,,
BMW,X5,2020,4.3,50,80,,,,,,5.0,4.0,5.0,5.0,4.0,3.0,4.8,#1 in Best Midsize Luxury SUVs of 2020,,
BMW,X5,2023,4.3,50,80,,,,,,5.0,4.0,5.0,5.0,4.0,3.0,4.7,,,
Audi,A3,2017,4.0,43,70,65,12,2,5,16,2.0,1.0,2.0,3.0,2.0,2.0,4.7,,,
Audi,A3,2020,4.0,43,70,,,,,,2.0,1.0,2.0,3.0,2.0,2.0,4.6,,,
Audi,A3,2023,5.0,2,100,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,4.6,,,
Audi,Q5,2017,4.3,162,80,,,,,,3.0,5.0,4.0,5.0,4.0,5.0,4.4,,,
Audi,Q5,2020,4.2,46,75,,,,,,4.0,5.0,5.0,5.0,4.0,5.0,4.7,#1 in Best Small Luxury SUVs of 2020,,
Audi,Q5,2023,4.2,46,75,67,9,7,9,9,4.0,5.0,5.0,5.0,4.0,5.0,4.5,,,
